annual_income_usd,outstanding_debt_usd,missed_payments,employment_status,employment_years,credit_history_years,number_of_credit_cards,loan_types,marital_status,dependents,education_level,residence_type,savings_balance,age,credit_score
53882.87277038197,98123.88601668825,14.0,Unemployed,27.297680439742503,0.28797691697760475,8.0,Auto Only,Widowed,3.0,College,Rent,,,526.0
175293.96185237472,40526.377272242855,1.0,Unemployed,13.583677285484983,28.085956889383464,7.0,Mortgage Only,,0.0,High School,With Family,114879.43822741647,62.0,589.0
248620.40968275693,83932.17975979205,9.0,Employed,24.88219526556054,10.215902656578194,0.0,Auto Only,Single,5.0,High School,Other,17701.34314101104,73.0,463.0
28468.402210331227,130194.56897743719,3.0,Self-Employed,28.666621682754524,4.944401797035924,2.0,Multiple,Widowed,2.0,College,Rent,100014.8715393689,43.0,705.0
218479.58842558952,42869.423760433914,5.0,Retired,10.433503440386577,5.552706178160839,4.0,Auto Only,Married,4.0,College,Own,14232.096768236379,32.0,663.0
57591.107081015594,70596.85105315335,11.0,Employed,13.243882981943047,19.405397591265086,6.0,Multiple,Divorced,3.0,Master,Rent,195944.4455932795,26.0,776.0
243640.2110759814,77036.03857527187,6.0,Self-Employed,3.590222882923868,24.792237096749155,4.0,Auto Only,Single,0.0,Bachelor,With Family,183565.64850923064,40.0,611.0
20273.430409799883,92613.36996628926,3.0,Employed,30.647129638776462,13.496394640332962,7.0,Multiple,Married,3.0,PhD,With Family,129315.59948315432,74.0,587.0
41503.26326157017,119870.77178590254,8.0,Unemployed,25.117866345456985,6.767964778228821,1.0,Mortgage Only,Married,3.0,Master,Other,183878.12598643958,62.0,443.0
250148.92207340922,18241.594694786643,7.0,,15.357483893721305,9.379543011118272,6.0,Auto Only,Single,4.0,College,Other,,38.0,620.0
95439.17619475626,80352.65451043539,6.0,Retired,21.32586224881667,5.9784814104212884,4.0,Mortgage Only,Single,,Master,Rent,,68.0,645.0
270248.1517621828,21302.261472382128,11.0,Employed,27.094996832035193,5.717676303902986,8.0,Auto Only,Married,4.0,PhD,Own,29163.980334387674,53.0,699.0
238713.79392037872,27107.48375945084,6.0,Retired,,16.756695547609038,7.0,None,Married,4.0,Master,Own,198703.5734379954,51.0,603.0
199563.91399905438,73731.35135428366,0.0,Self-Employed,27.08555082646875,15.793574107492551,7.0,Auto Only,Widowed,5.0,High School,Rent,48982.908808030756,19.0,342.0
103935.55603154942,12471.150445738616,8.0,Self-Employed,25.13961951179973,20.230396013107946,0.0,Auto Only,Single,5.0,Bachelor,Other,173341.04128314232,35.0,519.0
255069.85569989134,13102.888873998958,6.0,Retired,25.905812989402556,5.253506257229386,0.0,Multiple,Married,2.0,College,Own,86399.63806043194,44.0,703.0
74251.58847835622,26881.419986869558,8.0,Unemployed,13.005310054804301,1.210769846255304,3.0,Multiple,Single,4.0,College,,64913.465424104055,67.0,331.0
269722.769052746,70847.01545138248,,Unemployed,6.033770063125901,17.012388559610375,2.0,Mortgage Only,Divorced,4.0,Master,With Family,49663.66829819078,18.0,498.0
231797.7780285013,27481.30558449362,7.0,Retired,15.647363204553342,26.373218067416023,,Auto Only,Single,0.0,Master,Other,172502.48730233486,37.0,691.0
117556.84728070826,56793.94182736507,6.0,Unemployed,3.759659408530598,21.361799691931946,5.0,Mortgage Only,Married,1.0,College,With Family,168218.8012731537,70.0,636.0
68812.87716639006,130288.28203688505,1.0,Unemployed,6.538181488302683,,1.0,Auto Only,,0.0,College,Own,174488.23124949334,40.0,510.0
143707.52620930027,139123.16256861817,11.0,Employed,22.15596086110856,12.713375245642647,,Mortgage Only,Married,2.0,College,Other,146926.21982910307,55.0,793.0
56696.17193406742,82973.72246395407,5.0,Employed,37.01617655948178,6.46790696844585,3.0,None,Single,2.0,Bachelor,Own,12615.976418729868,67.0,446.0
155872.62729634764,148154.6868518059,9.0,,8.912554126945103,5.074489984593273,,Mortgage Only,Widowed,4.0,Bachelor,Own,70722.0540249037,56.0,820.0
83530.21223960433,105822.0369857226,6.0,Self-Employed,21.46473020410536,26.307890386660365,,Multiple,Widowed,4.0,PhD,Other,162945.67703573036,45.0,845.0
21255.399794510733,20278.17234413946,10.0,Self-Employed,6.3218928169019595,4.571400340748289,6.0,Multiple,Divorced,3.0,PhD,Own,194615.3912440319,70.0,653.0
168845.77826770346,110913.64332580789,0.0,Employed,21.47463783819914,20.90232206043565,9.0,Multiple,Single,3.0,Master,Other,172154.12462590428,64.0,422.0
103976.47965593719,99716.0437505844,14.0,Retired,30.18009608024933,10.543947417692669,7.0,Mortgage Only,Single,0.0,High School,Own,133737.1026396164,46.0,810.0
191111.26645967714,129804.21117121784,0.0,,32.51311861675792,7.759030015655849,1.0,,Married,,PhD,Other,164705.95290821325,50.0,793.0
107571.87059507362,75168.07148152226,1.0,Retired,27.98696494393266,27.986686569532836,7.0,Multiple,Married,2.0,Bachelor,Other,73460.12046785935,66.0,691.0
211639.80469914447,88242.1660255897,13.0,Unemployed,8.097690628282614,26.508200768034904,9.0,None,Widowed,3.0,Bachelor,With Family,133990.53223692428,,466.0
206698.77241818383,59219.83108394889,3.0,Unemployed,17.98779031926155,,4.0,Multiple,Widowed,5.0,Master,With Family,151697.2840392302,51.0,701.0
27001.923250340402,2589.6631690960626,8.0,Retired,32.68510098916616,12.355330927528895,3.0,Auto Only,Divorced,3.0,Bachelor,Own,100524.5092754685,25.0,572.0
212781.50571523697,90340.27894976248,6.0,Retired,29.41817806608072,21.159541642295842,,None,Divorced,4.0,College,Other,52151.20924947114,63.0,625.0
71226.2774051916,142419.1463053555,7.0,Unemployed,32.11586432260266,24.381149002581687,9.0,Auto Only,Married,1.0,High School,Other,185581.18461650578,52.0,553.0
249805.91579111057,24863.306322091423,2.0,Self-Employed,3.802008621330857,13.152724528298787,1.0,Mortgage Only,Married,2.0,High School,Other,159938.17996155925,,770.0
53320.37226994116,25809.545143722164,13.0,Self-Employed,29.106682871915556,27.42052635273109,5.0,Auto Only,,3.0,High School,Own,49398.64989474569,59.0,691.0
89292.00980747826,61642.368730105154,6.0,Unemployed,17.72243725682991,12.513153953087489,4.0,None,Divorced,3.0,Master,Rent,24009.778398963055,73.0,478.0
180621.82468826266,126535.87005438822,7.0,,14.276158531925681,3.2089667052008455,4.0,None,Widowed,1.0,Master,With Family,147713.2685088416,28.0,695.0
137484.95751121477,88061.26652642759,3.0,Self-Employed,6.468475458087122,29.47514585465156,7.0,Auto Only,Widowed,4.0,College,With Family,131986.81229647703,47.0,380.0
,76531.04054857907,13.0,Retired,9.52326227151207,27.902246774439522,4.0,Auto Only,,0.0,College,Rent,118334.76098399352,66.0,792.0
221489.02688355267,129730.24857858088,1.0,Unemployed,24.006995285407008,23.190641303698072,4.0,Multiple,Widowed,0.0,Bachelor,Rent,191634.54920317672,18.0,314.0
81679.96051807051,30084.887955957838,11.0,,28.08586665571967,26.7709478961788,,Mortgage Only,Widowed,4.0,Bachelor,Rent,68135.2444224287,60.0,316.0
225333.70219576283,143104.07587853482,8.0,Employed,,19.411684711695802,6.0,None,Widowed,,Bachelor,With Family,24503.934940291037,,326.0
119758.90840495432,144412.71491649238,3.0,Unemployed,38.605243587943775,12.061086216791104,8.0,Multiple,Single,4.0,Master,With Family,41214.783719330226,64.0,666.0
26338.659249265358,122098.3704933192,7.0,Self-Employed,7.479151867073619,11.241953307318314,7.0,Multiple,Widowed,1.0,Bachelor,With Family,144387.49508827206,34.0,
98860.83132518388,44205.7830904065,0.0,Employed,22.98086092023233,9.184405192579177,4.0,Mortgage Only,Divorced,1.0,PhD,Own,182240.9678521295,72.0,579.0
283484.021183712,56318.15653995772,11.0,Self-Employed,29.713669116072467,20.549788808655663,8.0,Mortgage Only,Married,4.0,Master,Other,137395.96220506896,27.0,526.0
55870.934847628654,,11.0,Self-Employed,9.614444139092605,8.908658480413788,5.0,Mortgage Only,Widowed,2.0,High School,,29177.72425684293,29.0,518.0
180260.2469480996,25599.914325720925,9.0,Retired,1.7335506654886412,10.259632557814628,,Mortgage Only,Widowed,,Bachelor,With Family,141311.99659342974,53.0,663.0
293715.5727100518,6854.780343945449,1.0,Unemployed,9.544414086002675,14.978219595931874,3.0,None,Married,2.0,High School,Own,63324.95363183413,47.0,745.0
165825.5506807893,9761.128199242468,4.0,Self-Employed,0.2760651735255726,13.378746532841317,6.0,None,Married,2.0,Master,Own,79761.92333653616,25.0,441.0
112442.73659830446,92342.31753597874,7.0,Self-Employed,18.329178924016635,1.4594073081269687,8.0,None,Divorced,1.0,PhD,Rent,128612.77075581126,50.0,314.0
187594.34794201906,145258.54607837775,5.0,Employed,1.75151154096425,12.901193215808844,1.0,Multiple,Single,3.0,High School,Own,85414.37791920321,74.0,836.0
91844.16779972364,12658.162321998434,14.0,Retired,30.059577965709515,14.67308118834499,0.0,Auto Only,Single,5.0,Master,Other,192265.44326380332,74.0,
237168.7331102023,95920.18345755497,5.0,Self-Employed,36.020957730310755,16.719608728431762,5.0,Mortgage Only,Single,4.0,High School,With Family,158861.1029300709,71.0,840.0
261547.13086697416,18042.367081805925,3.0,Unemployed,12.832257345491943,26.08097393727073,3.0,None,Widowed,3.0,Master,With Family,108807.050986895,,529.0
118634.96959031037,86530.55557985566,9.0,Self-Employed,23.503546314321035,10.438675253200774,0.0,Mortgage Only,Divorced,0.0,PhD,Other,86596.03019550205,51.0,635.0
236413.5236103061,66452.47213297123,14.0,Unemployed,33.03471098113838,,9.0,Auto Only,Divorced,0.0,,Other,66054.60946932537,39.0,699.0
253879.41639083944,5224.601450728089,13.0,Employed,10.500048869990293,27.509674747133758,6.0,None,Married,2.0,College,,66330.49530603264,60.0,590.0
134232.72086951265,53556.34230532221,9.0,Self-Employed,28.281911575105955,27.937044332081143,1.0,Multiple,Divorced,,Bachelor,Own,128973.99085435443,33.0,709.0
285934.01224549743,117861.11551339184,2.0,Self-Employed,35.795684722988824,28.169988667982338,3.0,Auto Only,Divorced,2.0,Bachelor,With Family,166558.34493197734,27.0,437.0
213146.3656804345,29396.147640017876,14.0,Self-Employed,27.46500980997974,25.188702970396996,5.0,,Married,1.0,High School,With Family,38337.19510024536,43.0,731.0
147855.43658696947,77701.68537463013,13.0,Employed,27.20784849917583,16.68041579339306,5.0,Auto Only,Divorced,3.0,Bachelor,With Family,185201.04761623332,57.0,647.0
190941.6895303979,38356.11254107557,10.0,Self-Employed,4.277431093148838,21.20528607405251,6.0,None,,0.0,Master,Other,60146.7786715796,42.0,598.0
159145.53985806578,138809.1258359644,8.0,Employed,,2.064673238785646,7.0,None,Divorced,2.0,Bachelor,With Family,141381.418478384,54.0,527.0
,139086.4675315448,13.0,Self-Employed,23.445074309527033,5.597509303209486,2.0,Multiple,Married,3.0,Bachelor,,152501.66396129178,30.0,820.0
149437.85266910619,108984.13994298237,13.0,Employed,7.614429389537594,29.702066643265244,,Auto Only,Widowed,5.0,Bachelor,Other,164307.1885476018,58.0,636.0
176131.6716779626,103586.70883331743,13.0,Unemployed,18.68669176455851,0.754564373513047,5.0,Multiple,Single,5.0,College,,78190.23547819877,,392.0
64967.76523451407,82790.82835089412,0.0,Employed,34.80557077630581,0.8999045558473695,5.0,Auto Only,Widowed,1.0,Master,Rent,82149.18398094692,67.0,833.0
269671.5559652127,117735.49290360055,,Retired,38.03580446076807,7.150875565286815,9.0,Multiple,Single,2.0,Master,Own,135015.74878122396,68.0,700.0
187065.780710955,147519.09863744144,9.0,Employed,16.513748971711763,16.91985006986492,6.0,Multiple,Widowed,2.0,PhD,Other,190377.05433041777,20.0,830.0
149879.41294485377,144255.39292603574,10.0,Unemployed,6.032703888002238,5.964019245684183,1.0,Multiple,Single,3.0,,Rent,185869.9331233235,46.0,846.0
239649.60504101968,121309.85885925719,4.0,Unemployed,36.525571921434555,3.0723800132834156,5.0,Mortgage Only,Widowed,2.0,Master,Rent,149326.43237826956,21.0,708.0
234552.09742623617,20424.644912577216,8.0,Retired,18.70128540745054,4.381101629485821,2.0,None,Single,5.0,College,,38482.2961431164,64.0,752.0
128342.59495350905,129211.6930705695,,Unemployed,11.589507741375872,13.882213776927044,6.0,Multiple,Widowed,2.0,Master,With Family,133872.00830922587,55.0,361.0
145090.8873529671,88810.17780229666,12.0,Employed,39.7459449240692,15.87950187382252,4.0,None,Married,3.0,College,With Family,163898.34711671222,58.0,494.0
151470.94351120622,80002.60601997112,4.0,Retired,35.98316015943441,7.5366592417957285,8.0,Auto Only,Single,1.0,Master,Rent,197334.89580686038,71.0,600.0
61640.408167828755,81743.7920660345,5.0,Employed,17.281499091832337,28.61578482730098,7.0,None,Widowed,1.0,College,Other,109631.03801248322,72.0,767.0
222990.44050945016,38138.39049283104,14.0,Unemployed,2.0215530460526265,24.29778063682377,4.0,Mortgage Only,Single,4.0,High School,Other,117756.55136175964,69.0,
69609.2251709936,31014.20946805799,13.0,Self-Employed,23.37374609565496,,2.0,Mortgage Only,Single,0.0,PhD,Other,196800.57911719094,39.0,343.0
40239.41335751508,67270.33448513802,4.0,Retired,28.66149038910735,4.98959177532872,9.0,None,Divorced,3.0,High School,Other,169194.84967857224,31.0,768.0
208033.58710288812,94958.23005784613,0.0,Employed,0.2115904909510613,26.73798718102655,0.0,Auto Only,Married,2.0,High School,Rent,14294.093489806502,18.0,379.0
43045.24818390723,97666.10115882833,6.0,Employed,13.248082654986288,4.633987729830502,9.0,None,Divorced,2.0,College,Own,192836.43901243128,53.0,747.0
262706.4223433315,78471.44084703598,12.0,,3.7770805728000667,20.5094148466493,0.0,None,Married,2.0,College,Rent,49134.711909342645,41.0,
112733.83045378092,123162.39773741967,12.0,Retired,35.1613414220936,18.759315341427765,3.0,None,Married,0.0,College,With Family,170472.841865811,26.0,788.0
85166.97761763819,138371.1181885009,14.0,Retired,1.6777721452052186,26.443277742171734,,None,Married,0.0,College,Rent,78019.11752530705,36.0,789.0
139762.30604610033,32257.594212751945,0.0,Retired,38.01496679639216,9.541850199185992,6.0,Multiple,,1.0,PhD,Own,30522.60302879348,68.0,705.0
155231.1658243246,110620.71994012092,0.0,Self-Employed,1.4031593864501168,7.431074289930162,8.0,Auto Only,Married,3.0,PhD,With Family,171334.6970736501,25.0,
59782.54605833299,34879.013500406574,0.0,Retired,1.3570730345695603,12.731704512687582,7.0,None,Married,5.0,,Rent,4920.038882646582,19.0,790.0
269650.21920028504,126770.65922052343,7.0,Retired,17.352865327447237,26.466123910408374,9.0,Mortgage Only,Single,1.0,PhD,Rent,116710.48056766449,47.0,774.0
69718.54249385532,76112.42215737936,12.0,Retired,14.120261544898426,4.083590742950527,6.0,,Single,0.0,Bachelor,With Family,46731.75401224756,47.0,715.0
162956.37868897076,55815.05996856599,14.0,Self-Employed,1.9571861129226997,28.418242385405797,7.0,Auto Only,Married,3.0,Master,Own,35100.66225894719,61.0,582.0
188291.89430354233,,13.0,Employed,31.659706900181664,19.845426495545045,7.0,Mortgage Only,Married,3.0,Master,Own,109078.00949527224,18.0,347.0
202229.312118095,,13.0,,2.6278042889379405,2.248733879825875,1.0,Auto Only,Married,1.0,High School,Rent,182633.94411690734,44.0,830.0
162593.1213604204,85383.82693618657,3.0,Self-Employed,2.424384418482517,18.14499941271717,3.0,Multiple,Single,4.0,Master,Other,192917.99473688603,58.0,387.0
92851.1769083177,81879.5227592271,10.0,Self-Employed,19.430623647075954,15.910986053181729,5.0,None,Single,4.0,College,,28802.79211834609,55.0,431.0
39766.2977197249,130158.29328689823,10.0,Employed,13.96534638444364,18.87950442711142,1.0,Multiple,Single,0.0,Master,With Family,,68.0,516.0
284171.351015364,47723.61987698713,4.0,Self-Employed,5.661910725201986,14.83478476872779,8.0,None,Single,4.0,Master,,137640.93085188983,,317.0
243726.70584465083,45613.313205854276,4.0,Unemployed,4.90576764493579,23.92994834588731,9.0,Multiple,Married,4.0,PhD,Rent,79686.82477128031,18.0,581.0
97295.66333105873,14118.67871988519,1.0,Employed,38.794308350814404,25.14859051764175,1.0,Auto Only,Widowed,2.0,Bachelor,Own,19424.352995207882,,777.0
48539.85990533728,81488.32630979842,14.0,Employed,25.739968750977788,16.752986543824562,5.0,None,Married,4.0,PhD,Other,103725.16747994401,53.0,306.0
293618.6732299471,,12.0,Self-Employed,8.36367085140402,2.80087301099879,,None,Single,2.0,College,Rent,156612.84321589777,26.0,
265654.8633364317,140564.22787579166,1.0,Self-Employed,,15.049245151490645,,Auto Only,,4.0,PhD,With Family,1215.4274453113344,20.0,303.0
190894.47028835485,35547.97414055565,10.0,Retired,26.47594843299837,2.8482144442989146,7.0,Mortgage Only,Widowed,,College,Other,75554.89660431904,66.0,756.0
164778.84730249023,66700.10314309702,2.0,Retired,3.493510634278816,0.6768773125957195,5.0,Mortgage Only,Single,4.0,Bachelor,With Family,14517.572842081661,72.0,801.0
